                      Texto 1   Texto 2   Texto 3
qu                   0.301030  0.000000  0.000000
que                  1.322219  1.113943  1.204120
qued                 0.301030  0.000000  0.000000
quer                 0.000000  0.301030  0.000000
quien                0.000000  0.000000  0.301030
quienes              0.000000  0.000000  0.477121
quiere               0.000000  0.000000  0.301030
quince               0.301030  0.000000  0.000000
quisiera             0.301030  0.000000  0.000000
quiz                 0.000000  0.000000  0.301030
r                    0.301030  0.000000  0.000000
ranchos              0.000000  0.301030  0.000000
ratoniles            0.000000  0.301030  0.000000
raz                  0.000000  0.301030  0.000000
re                   0.301030  0.000000  0.000000
rea                  0.000000  0.301030  0.000000
real                 0.000000  0.301030  0.000000
realidad             0.000000  0.301030  0.000000
realmente            0.000000  0.301030  0.000000
recato               0.000000  0.301030  0.000000
receptor             0.000000  0.301030  0.000000
rechoncha            0.000000  0.301030  0.000000
recomendado          0.000000  0.000000  0.301030
recomienda           0.000000  0.000000  0.301030
record               0.000000  0.301030  0.000000
recordando           0.301030  0.000000  0.000000
recta                0.301030  0.000000  0.000000
refinados            0.000000  0.000000  0.301030
refrescos            0.000000  0.000000  0.301030
refutan              0.000000  0.000000  0.301030
refutarla            0.000000  0.000000  0.301030
regi                 0.000000  0.477121  0.000000
requiere             0.000000  0.000000  0.301030
resisti              0.301030  0.000000  0.000000
resulta              0.000000  0.000000  0.301030
retrato              0.000000  0.477121  0.000000
rez                  0.000000  0.000000  0.602060
ribera               0.000000  0.477121  0.000000
riesgo               0.000000  0.000000  0.301030
rizoso               0.301030  0.000000  0.000000
rocas                0.000000  0.301030  0.000000
rodeado              0.301030  0.000000  0.000000
romp                 0.301030  0.000000  0.000000
ronca                0.301030  0.000000  0.000000
rtica                0.000000  0.301030  0.000000
rubio                0.477121  0.000000  0.000000
rumor                0.301030  0.000000  0.000000
rvulos               0.301030  0.000000  0.000000
s                    0.845098  0.301030  0.698970
sab                  0.301030  0.000000  0.000000
sabia                0.000000  0.301030  0.000000
sabio                0.000000  0.301030  0.000000
sabor                0.000000  0.000000  0.301030
sacaba               0.301030  0.000000  0.000000
salida               0.301030  0.000000  0.000000
salir                0.477121  0.000000  0.000000
salud                0.301030  0.000000  0.000000
saludable            0.000000  0.000000  0.477121
sana                 0.000000  0.000000  0.301030
sandra               0.000000  0.000000  0.301030
sangre               0.000000  0.000000  0.301030
sanos                0.000000  0.301030  0.000000
se                   1.041393  0.778151  0.778151
secci                0.477121  0.000000  0.000000
segunda              0.477121  0.000000  0.000000
selva                0.000000  0.301030  0.000000
sent                 0.602060  0.000000  0.000000
sentados             0.301030  0.000000  0.000000
separamos            0.301030  0.000000  0.000000
ser                  0.000000  0.000000  0.301030
serie                0.000000  0.000000  0.477121
si                   0.301030  0.000000  0.602060
sido                 0.301030  0.301030  0.000000
siempre              0.602060  0.000000  0.301030
sienes               0.000000  0.301030  0.000000
siete                0.477121  0.000000  0.000000
siguiendo            0.000000  0.000000  0.301030
siguiente            0.000000  0.000000  0.301030
simp                 0.301030  0.000000  0.000000
simular              0.000000  0.301030  0.000000
sin                  0.477121  0.301030  0.000000
siquiera             0.301030  0.000000  0.000000
sitio                0.301030  0.000000  0.000000
sobra                0.301030  0.000000  0.000000
solim                0.000000  0.301030  0.000000
solo                 0.000000  0.477121  0.000000
somos                0.000000  0.477121  0.000000
son                  0.000000  0.698970  0.000000
sonre                0.301030  0.000000  0.000000
sorprender           0.000000  0.301030  0.000000
sortijas             0.000000  0.301030  0.000000
spera                0.000000  0.301030  0.000000
stevia               0.000000  0.000000  0.301030
stica                0.000000  0.301030  0.000000
stico                0.000000  0.000000  0.301030
sticos               0.000000  0.301030  0.000000
su                   0.778151  0.602060  0.602060
subjetiva            0.000000  0.301030  0.000000
sucede               0.000000  0.000000  0.301030
sue                  0.301030  0.000000  0.000000
superior             0.301030  0.000000  0.000000
sus                  0.477121  0.778151  0.000000
suyo                 0.000000  0.301030  0.000000
t                    0.301030  0.000000  0.000000
tal                  0.000000  0.301030  0.000000
talle                0.000000  0.301030  0.000000
tambi                0.301030  0.000000  0.301030
tan                  0.602060  0.000000  0.000000
tanta                0.301030  0.000000  0.000000
tanto                0.477121  0.000000  0.301030
te                   0.301030  0.000000  0.000000
teatro               0.301030  0.000000  0.000000
tema                 0.000000  0.000000  0.301030
ten                  0.301030  0.301030  0.000000
tener                0.000000  0.000000  0.301030
tengan               0.000000  0.000000  0.301030
tengo                0.301030  0.000000  0.000000
teni                 0.000000  0.301030  0.000000
tercena              0.301030  0.000000  0.000000
terreno              0.000000  0.301030  0.000000
tesis                0.000000  0.000000  0.301030
texas                0.000000  0.301030  0.000000
texto                0.000000  0.778151  0.778151
textos               0.000000  0.000000  0.301030
tibia                0.000000  0.301030  0.000000
tibios               0.000000  0.301030  0.000000
tica                 0.000000  0.477121  0.000000
tico                 0.301030  0.000000  0.301030
ticos                0.000000  0.000000  0.698970
tiempos              0.000000  0.000000  0.301030
tiene                0.301030  0.301030  0.301030
tigre                0.000000  0.602060  0.000000
tigres               0.000000  0.301030  0.000000
tipo                 0.000000  0.000000  0.301030
